areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-01-07,242,79827
overview,United Kingdom,K02000001,2021-01-06,588,79585
overview,United Kingdom,K02000001,2021-01-05,675,78997
overview,United Kingdom,K02000001,2021-01-04,703,78322
overview,United Kingdom,K02000001,2021-01-03,630,77619
overview,United Kingdom,K02000001,2021-01-02,616,76989
overview,United Kingdom,K02000001,2021-01-01,631,76373
overview,United Kingdom,K02000001,2020-12-31,656,75742
overview,United Kingdom,K02000001,2020-12-30,653,75086
overview,United Kingdom,K02000001,2020-12-29,631,74433
overview,United Kingdom,K02000001,2020-12-28,630,73802
overview,United Kingdom,K02000001,2020-12-27,620,73172
overview,United Kingdom,K02000001,2020-12-26,624,72552
overview,United Kingdom,K02000001,2020-12-25,582,71928
overview,United Kingdom,K02000001,2020-12-24,558,71346
overview,United Kingdom,K02000001,2020-12-23,551,70788
overview,United Kingdom,K02000001,2020-12-22,545,70237
overview,United Kingdom,K02000001,2020-12-21,557,69692
overview,United Kingdom,K02000001,2020-12-20,498,69135
overview,United Kingdom,K02000001,2020-12-19,475,68637
overview,United Kingdom,K02000001,2020-12-18,504,68162
overview,United Kingdom,K02000001,2020-12-17,523,67658
overview,United Kingdom,K02000001,2020-12-16,439,67135
overview,United Kingdom,K02000001,2020-12-15,451,66696
overview,United Kingdom,K02000001,2020-12-14,474,66245
overview,United Kingdom,K02000001,2020-12-13,412,65771
overview,United Kingdom,K02000001,2020-12-12,438,65359
overview,United Kingdom,K02000001,2020-12-11,449,64921
overview,United Kingdom,K02000001,2020-12-10,444,64472
overview,United Kingdom,K02000001,2020-12-09,428,64028
overview,United Kingdom,K02000001,2020-12-08,433,63600
overview,United Kingdom,K02000001,2020-12-07,419,63167
overview,United Kingdom,K02000001,2020-12-06,415,62748
overview,United Kingdom,K02000001,2020-12-05,393,62333
overview,United Kingdom,K02000001,2020-12-04,471,61940
overview,United Kingdom,K02000001,2020-12-03,471,61469
overview,United Kingdom,K02000001,2020-12-02,382,60998
overview,United Kingdom,K02000001,2020-12-01,400,60616
overview,United Kingdom,K02000001,2020-11-30,420,60216
overview,United Kingdom,K02000001,2020-11-29,459,59796
overview,United Kingdom,K02000001,2020-11-28,460,59337
overview,United Kingdom,K02000001,2020-11-27,419,58877
overview,United Kingdom,K02000001,2020-11-26,435,58458
overview,United Kingdom,K02000001,2020-11-25,480,58023
overview,United Kingdom,K02000001,2020-11-24,457,57543
overview,United Kingdom,K02000001,2020-11-23,462,57086
overview,United Kingdom,K02000001,2020-11-22,478,56624
overview,United Kingdom,K02000001,2020-11-21,461,56146
overview,United Kingdom,K02000001,2020-11-20,451,55685
overview,United Kingdom,K02000001,2020-11-19,461,55234
overview,United Kingdom,K02000001,2020-11-18,486,54773
overview,United Kingdom,K02000001,2020-11-17,441,54287
overview,United Kingdom,K02000001,2020-11-16,423,53846
overview,United Kingdom,K02000001,2020-11-15,450,53423
overview,United Kingdom,K02000001,2020-11-14,428,52973
overview,United Kingdom,K02000001,2020-11-13,433,52545
overview,United Kingdom,K02000001,2020-11-12,418,52112
overview,United Kingdom,K02000001,2020-11-11,387,51694
overview,United Kingdom,K02000001,2020-11-10,387,51307
overview,United Kingdom,K02000001,2020-11-09,480,50920
overview,United Kingdom,K02000001,2020-11-08,413,50440
overview,United Kingdom,K02000001,2020-11-07,390,50027
overview,United Kingdom,K02000001,2020-11-06,400,49637
overview,United Kingdom,K02000001,2020-11-05,375,49237
overview,United Kingdom,K02000001,2020-11-04,329,48862
overview,United Kingdom,K02000001,2020-11-03,359,48533
overview,United Kingdom,K02000001,2020-11-02,330,48174
overview,United Kingdom,K02000001,2020-11-01,356,47844
overview,United Kingdom,K02000001,2020-10-31,320,47488
overview,United Kingdom,K02000001,2020-10-30,338,47168
overview,United Kingdom,K02000001,2020-10-29,310,46830
overview,United Kingdom,K02000001,2020-10-28,283,46520
overview,United Kingdom,K02000001,2020-10-27,266,46237
overview,United Kingdom,K02000001,2020-10-26,277,45971
overview,United Kingdom,K02000001,2020-10-25,247,45694
overview,United Kingdom,K02000001,2020-10-24,213,45447
overview,United Kingdom,K02000001,2020-10-23,222,45234
overview,United Kingdom,K02000001,2020-10-22,234,45012
overview,United Kingdom,K02000001,2020-10-21,222,44778
overview,United Kingdom,K02000001,2020-10-20,194,44556
overview,United Kingdom,K02000001,2020-10-19,191,44362
overview,United Kingdom,K02000001,2020-10-18,159,44171
